schema_name,table_name,ordinal_position,column_name,data_type,not_null,default_expression,identity_kind,generated_kind,comment
auth,audit_log_entries,1,instance_id,uuid,f,,,,
auth,audit_log_entries,2,id,uuid,t,,,,
auth,audit_log_entries,3,payload,json,f,,,,
auth,audit_log_entries,4,created_at,timestamp with time zone,f,,,,
auth,audit_log_entries,5,ip_address,character varying(64),t,''::character varying,,,
auth,custom_oauth_providers,1,id,uuid,t,gen_random_uuid(),,,
auth,custom_oauth_providers,2,provider_type,text,t,,,,
auth,custom_oauth_providers,3,identifier,text,t,,,,
auth,custom_oauth_providers,4,name,text,t,,,,
auth,custom_oauth_providers,5,client_id,text,t,,,,
auth,custom_oauth_providers,6,client_secret,text,t,,,,
auth,custom_oauth_providers,7,acceptable_client_ids,text[],t,'{}'::text[],,,
auth,custom_oauth_providers,8,scopes,text[],t,'{}'::text[],,,
auth,custom_oauth_providers,9,pkce_enabled,boolean,t,true,,,
auth,custom_oauth_providers,10,attribute_mapping,jsonb,t,'{}'::jsonb,,,
auth,custom_oauth_providers,11,authorization_params,jsonb,t,'{}'::jsonb,,,
auth,custom_oauth_providers,12,enabled,boolean,t,true,,,
auth,custom_oauth_providers,13,email_optional,boolean,t,false,,,
auth,custom_oauth_providers,14,issuer,text,f,,,,
auth,custom_oauth_providers,15,discovery_url,text,f,,,,
auth,custom_oauth_providers,16,skip_nonce_check,boolean,t,false,,,
auth,custom_oauth_providers,17,cached_discovery,jsonb,f,,,,
auth,custom_oauth_providers,18,discovery_cached_at,timestamp with time zone,f,,,,
auth,custom_oauth_providers,19,authorization_url,text,f,,,,
auth,custom_oauth_providers,20,token_url,text,f,,,,
auth,custom_oauth_providers,21,userinfo_url,text,f,,,,
auth,custom_oauth_providers,22,jwks_uri,text,f,,,,
auth,custom_oauth_providers,23,created_at,timestamp with time zone,t,now(),,,
auth,custom_oauth_providers,24,updated_at,timestamp with time zone,t,now(),,,
auth,custom_oauth_providers,25,custom_claims_allowlist,text[],t,'{}'::text[],,,
auth,flow_state,1,id,uuid,t,,,,
auth,flow_state,2,user_id,uuid,f,,,,
auth,flow_state,3,auth_code,text,f,,,,
auth,flow_state,4,code_challenge_method,auth.code_challenge_method,f,,,,
auth,flow_state,5,code_challenge,text,f,,,,
auth,flow_state,6,provider_type,text,t,,,,
auth,flow_state,7,provider_access_token,text,f,,,,
auth,flow_state,8,provider_refresh_token,text,f,,,,
auth,flow_state,9,created_at,timestamp with time zone,f,,,,
auth,flow_state,10,updated_at,timestamp with time zone,f,,,,
auth,flow_state,11,authentication_method,text,t,,,,
auth,flow_state,12,auth_code_issued_at,timestamp with time zone,f,,,,
auth,flow_state,13,invite_token,text,f,,,,
auth,flow_state,14,referrer,text,f,,,,
auth,flow_state,15,oauth_client_state_id,uuid,f,,,,
auth,flow_state,16,linking_target_id,uuid,f,,,,
auth,flow_state,17,email_optional,boolean,t,false,,,
auth,identities,1,provider_id,text,t,,,,
auth,identities,2,user_id,uuid,t,,,,
auth,identities,3,identity_data,jsonb,t,,,,
auth,identities,4,provider,text,t,,,,
auth,identities,5,last_sign_in_at,timestamp with time zone,f,,,,
auth,identities,6,created_at,timestamp with time zone,f,,,,
auth,identities,7,updated_at,timestamp with time zone,f,,,,
auth,identities,8,email,text,f,lower((identity_data ->> 'email'::text)),,s,Auth: Email is a generated column that references the optional email property in the identity_data
auth,identities,9,id,uuid,t,gen_random_uuid(),,,
auth,instances,1,id,uuid,t,,,,
auth,instances,2,uuid,uuid,f,,,,
auth,instances,3,raw_base_config,text,f,,,,
auth,instances,4,created_at,timestamp with time zone,f,,,,
auth,instances,5,updated_at,timestamp with time zone,f,,,,
auth,mfa_amr_claims,1,session_id,uuid,t,,,,
auth,mfa_amr_claims,2,created_at,timestamp with time zone,t,,,,
auth,mfa_amr_claims,3,updated_at,timestamp with time zone,t,,,,
auth,mfa_amr_claims,4,authentication_method,text,t,,,,
auth,mfa_amr_claims,5,id,uuid,t,,,,
auth,mfa_challenges,1,id,uuid,t,,,,
auth,mfa_challenges,2,factor_id,uuid,t,,,,
auth,mfa_challenges,3,created_at,timestamp with time zone,t,,,,
auth,mfa_challenges,4,verified_at,timestamp with time zone,f,,,,
auth,mfa_challenges,5,ip_address,inet,t,,,,
auth,mfa_challenges,6,otp_code,text,f,,,,
auth,mfa_challenges,7,web_authn_session_data,jsonb,f,,,,
auth,mfa_factors,1,id,uuid,t,,,,
auth,mfa_factors,2,user_id,uuid,t,,,,
auth,mfa_factors,3,friendly_name,text,f,,,,
