schema_name,table_name,constraint_name,constraint_type,condeferrable,condeferred,definition
auth,audit_log_entries,audit_log_entries_pkey,p,f,f,PRIMARY KEY (id)
auth,custom_oauth_providers,custom_oauth_providers_authorization_url_https,c,f,f,CHECK (authorization_url IS NULL OR authorization_url ~~ 'https://%'::text)
auth,custom_oauth_providers,custom_oauth_providers_authorization_url_length,c,f,f,CHECK (authorization_url IS NULL OR char_length(authorization_url) <= 2048)
auth,custom_oauth_providers,custom_oauth_providers_client_id_length,c,f,f,CHECK (char_length(client_id) >= 1 AND char_length(client_id) <= 512)
auth,custom_oauth_providers,custom_oauth_providers_discovery_url_length,c,f,f,CHECK (discovery_url IS NULL OR char_length(discovery_url) <= 2048)
auth,custom_oauth_providers,custom_oauth_providers_identifier_format,c,f,f,"CHECK (identifier ~ '^[a-z0-9][a-z0-9:-]{0,48}[a-z0-9]$'::text)"
auth,custom_oauth_providers,custom_oauth_providers_identifier_key,u,f,f,UNIQUE (identifier)
auth,custom_oauth_providers,custom_oauth_providers_issuer_length,c,f,f,CHECK (issuer IS NULL OR char_length(issuer) >= 1 AND char_length(issuer) <= 2048)
auth,custom_oauth_providers,custom_oauth_providers_jwks_uri_https,c,f,f,CHECK (jwks_uri IS NULL OR jwks_uri ~~ 'https://%'::text)
auth,custom_oauth_providers,custom_oauth_providers_jwks_uri_length,c,f,f,CHECK (jwks_uri IS NULL OR char_length(jwks_uri) <= 2048)
auth,custom_oauth_providers,custom_oauth_providers_name_length,c,f,f,CHECK (char_length(name) >= 1 AND char_length(name) <= 100)
auth,custom_oauth_providers,custom_oauth_providers_oauth2_requires_endpoints,c,f,f,CHECK (provider_type <> 'oauth2'::text OR authorization_url IS NOT NULL AND token_url IS NOT NULL AND userinfo_url IS NOT NULL)
auth,custom_oauth_providers,custom_oauth_providers_oidc_discovery_url_https,c,f,f,CHECK (provider_type <> 'oidc'::text OR discovery_url IS NULL OR discovery_url ~~ 'https://%'::text)
auth,custom_oauth_providers,custom_oauth_providers_oidc_issuer_https,c,f,f,CHECK (provider_type <> 'oidc'::text OR issuer IS NULL OR issuer ~~ 'https://%'::text)
auth,custom_oauth_providers,custom_oauth_providers_oidc_requires_issuer,c,f,f,CHECK (provider_type <> 'oidc'::text OR issuer IS NOT NULL)
