schema_name,enum_name,enumsortorder,enumlabel
auth,aal_level,1,aal1
auth,aal_level,2,aal2
auth,aal_level,3,aal3
auth,code_challenge_method,1,s256
auth,code_challenge_method,2,plain
auth,factor_status,1,unverified
auth,factor_status,2,verified
auth,factor_type,1,totp
auth,factor_type,2,webauthn
auth,factor_type,3,phone
auth,oauth_authorization_status,1,pending
auth,oauth_authorization_status,2,approved
auth,oauth_authorization_status,3,denied
auth,oauth_authorization_status,4,expired
auth,oauth_client_type,1,public
auth,oauth_client_type,2,confidential
auth,oauth_registration_type,1,dynamic
auth,oauth_registration_type,2,manual
auth,oauth_response_type,1,code
auth,one_time_token_type,1,confirmation_token
auth,one_time_token_type,2,reauthentication_token
auth,one_time_token_type,3,recovery_token
auth,one_time_token_type,4,email_change_token_new
auth,one_time_token_type,5,email_change_token_current
auth,one_time_token_type,6,phone_change_token
public,listing_category,1,clothing
public,listing_category,2,accessories
public,listing_category,3,gear
public,listing_category,4,art
public,listing_category,5,other
public,listing_condition,1,new
public,listing_condition,2,like_new
public,listing_condition,3,good
public,listing_condition,4,worn
public,listing_condition,5,vintage
public,listing_status,1,draft
public,listing_status,2,pending
public,listing_status,3,active
public,listing_status,4,sold
public,listing_status,5,rejected
public,profile_type,1,personal
public,profile_type,2,artist
public,profile_type,3,label
public,profile_type,4,festival
public,user_role,1,user
public,user_role,2,admin
public,user_role,3,super_admin
storage,buckettype,1,STANDARD
storage,buckettype,2,ANALYTICS
storage,buckettype,3,VECTOR
