table_schema,table_name,grantee,privilege_type,is_grantable
auth,audit_log_entries,audit_readonly,SELECT,NO
auth,flow_state,audit_readonly,SELECT,NO
auth,identities,audit_readonly,SELECT,NO
auth,instances,audit_readonly,SELECT,NO
auth,mfa_amr_claims,audit_readonly,SELECT,NO
auth,mfa_challenges,audit_readonly,SELECT,NO
auth,mfa_factors,audit_readonly,SELECT,NO
auth,one_time_tokens,audit_readonly,SELECT,NO
auth,refresh_tokens,audit_readonly,SELECT,NO
auth,saml_providers,audit_readonly,SELECT,NO
auth,saml_relay_states,audit_readonly,SELECT,NO
auth,schema_migrations,audit_readonly,SELECT,NO
auth,sessions,audit_readonly,SELECT,NO
auth,sso_domains,audit_readonly,SELECT,NO
auth,sso_providers,audit_readonly,SELECT,NO
auth,users,audit_readonly,SELECT,NO
public,blocked_handles,audit_readonly,SELECT,NO
public,conversations,audit_readonly,SELECT,NO
public,event_notifications,audit_readonly,SELECT,NO
public,events,audit_readonly,SELECT,NO
public,favorites,audit_readonly,SELECT,NO
public,featured_sellers,audit_readonly,SELECT,NO
public,follows,audit_readonly,SELECT,NO
public,listings,audit_readonly,SELECT,NO
public,messages,audit_readonly,SELECT,NO
public,notice_posts,audit_readonly,SELECT,NO
public,notice_reactions,audit_readonly,SELECT,NO
public,profiles,audit_readonly,SELECT,NO
public,reserved_handles,audit_readonly,SELECT,NO
public,users,audit_readonly,SELECT,NO
public,vendor_events,audit_readonly,SELECT,NO
storage,buckets,audit_readonly,SELECT,NO
storage,objects,audit_readonly,SELECT,NO
