pubname,schema_name,table_name,attnames,rowfilter
supabase_realtime,public,messages,"{id,conversation_id,sender_profile_id,body,created_at}",
supabase_realtime_messages_publication,realtime,messages_2026_06_24,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_06_25,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_06_26,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_06_27,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_06_28,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_06_29,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_06_30,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_07_11,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_07_12,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_07_13,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_07_14,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
supabase_realtime_messages_publication,realtime,messages_2026_07_15,"{topic,extension,payload,event,private,updated_at,inserted_at,id,binary_payload}",
